公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
112	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	南山区	开发/测试/运维类	本科	大平台,六险一金,年度体检,出国机会	9k-16k	3-5年
113	北京掌众科技有限公司	移动互联网,金融	B轮	['技能培训', '节日礼物', '绩效奖金', '年度旅游']	500-2000人	南山区	开发/测试/运维类	本科	七险一金,年终奖金,团队氛围好,发展空间大	15k-30k	3-5年
114	深圳和而泰智能控制股份有限公司	移动互联网	上市公司	['绩效奖金', '年终分红', '股票期权', '专项奖金']	2000人以上	南山区	技术	本科	上市企业,大牛团队,前景广阔,丰富下午茶	10k-20k	3-5年
115	深圳三代人科技有限公司	移动互联网,医疗健康	不需要融资	['股票期权', '一年14薪', '绩效奖金', '扁平管理']	150-500人	南山区	开发/测试/运维类	本科	工作氛围好,成长空间大,福利好,团队优秀	10k-20k	3-5年
116	深圳小步网络科技有限公司	移动互联网	B轮	['股票期权', '定期体检', '下午茶', '年度旅游']	15-50人	宝安区	开发/测试/运维类	本科	互金行业,牛人大拿,海外项目	15k-30k	3-5年
117	南方银谷科技有限公司	移动互联网,数据服务	D轮及以上	['节日礼物', '股票期权', '带薪年假', '绩效奖金']	150-500人	南山区	开发/测试/运维类	本科	团队氛围好,技术大牛多,福利齐全,发展前景好	15k-20k	3-5年
118	深圳市四格互联信息技术有限公司	移动互联网	B轮	['年底双薪', '股票期权', '定期体检', '扁平管理']	150-500人	南山区	开发/测试/运维类	大专	领导nice,大牛多，不打卡，无绩效	15k-25k	3-5年
119	深圳达飞金融控股有限公司	移动互联网,金融	不需要融资	['节日礼物', '年底双薪', '股票期权', '带薪年假']	2000人以上	福田区	开发/测试/运维类	本科	BAT团队，氛围好，技术牛	18k-35k	1-3年
120	深圳华大基因股份有限公司	医疗健康,其他	上市公司	['年轻创新', '带薪年假', '绩效奖金', '岗位晋升']	2000人以上	盐田区	开发/测试/运维类	本科	朝阳行业,医疗健康,基因检测	15k-25k	3-5年
121	深圳三代人科技有限公司	移动互联网,医疗健康	不需要融资	['股票期权', '一年14薪', '绩效奖金', '扁平管理']	150-500人	南山区	开发/测试/运维类	大专	一年14薪,期权激励,富有挑战,扁平化管理	15k-25k	5-10年
122	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	福田区	开发/测试/运维类	大专	前景好	10k-13k	1-3年
123	唯觅互动营销咨询（深圳）有限公司	广告营销	不需要融资	['年底双薪', '绩效奖金', '带薪年假', '弹性工作']	50-150人	南山区	开发/测试/运维类	本科	定期体检,加班补助,周末双休	20k-35k	5-10年
124	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	南山区	开发/测试/运维类	本科	新技术,加班少,老板好,团队氛围好	15k-20k	3-5年
125	深圳市扣钉网络科技有限公司	数据服务	B轮	['股票期权', '专项奖金', '五险一金', '带薪年假']	50-150人	南山区	开发/测试/运维类	本科	公司氛围好,技术大牛多,薪资丰厚	20k-40k	3-5年
126	深圳市金证科技股份有限公司	金融	上市公司	['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']	2000人以上	福田区	开发/测试/运维类	大专	上市公司,大型项目,五险一金,年度旅游	12k-19k	3-5年
127	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	大专	晋升空间大,过节费,双休,五险一金	10k-20k	3-5年
128	深圳市思迪信息技术股份有限公司	移动互联网,金融	B轮	['定期体检', '通讯津贴', '带薪年假', '每周双休']	500-2000人	南山区	开发/测试/运维类	本科	五险一金,年度体检,周末双休,弹性上班	13k-15k	3-5年
